get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos
players/,24.0,2023.0,28.0,609,Ryan,Arcidiacono,1994-03-26,USA,2017,4,6.0,3.0,1.9,195.0,88.5,Villanova,Villanova/USA,51.0,True,G,51.0,1.0,G,,,,,,,,,
,,,,732,O.G.,Anunoby,1997-07-17,United Kingdom,2017,4,6.0,7.0,2.01,232.0,105.2,Indiana,Indiana/United Kingdom,3.0,True,F,3.0,1.0,F,,,,,,,,,
,,,,978,Isaiah,Hartenstein,1998-05-05,Germany,2018,3,7.0,0.0,2.13,250.0,113.4,Zalgiris,Zalgiris/Germany,55.0,True,C-F,55.0,1.0,C,,,,,,,,,
,,,,791,Josh,Hart,1995-03-06,USA,2017,4,6.0,5.0,1.96,215.0,97.5,Villanova,Villanova/USA,11.0,True,G,5.0,1.0,G,5.0,1.0,G,,,,,,
,,,,946,Jalen,Brunson,1996-08-31,USA,2018,3,6.0,1.0,1.85,190.0,86.2,Villanova,Villanova/USA,11.0,True,G,13.0,1.0,G,,,,,,,,,
,,,,962,Donte,DiVincenzo,1997-01-31,USA,2018,3,6.0,4.0,1.93,203.0,92.1,Villanova,Villanova/USA,,True,G,9.0,1.0,G,,,,,,,,,
,,,,1001,Shake,Milton,1996-09-26,USA,2018,3,6.0,5.0,1.96,205.0,93.0,Southern Methodist,Southern Methodist/USA,18.0,True,G-F,18.0,1.0,G,,,,,,,,,
,,,,1020,Mitchell,Robinson,1998-04-01,USA,2018,3,7.0,0.0,2.13,240.0,108.9,Western Kentucky,Western Kentucky/USA,23.0,True,C-F,23.0,1.0,C,,,,,,,,,
,,,,1948,DaQuan,Jeffries,1997-08-30,USA,2019,3,6.0,5.0,1.96,225.0,102.1,Tulsa,Tulsa/USA,8.0,True,G-F,16.0,1.0,F,,,,55.0,1.0,G-F,,,
,,,,1846,RJ,Barrett,2000-06-14,Canada,2019,2,6.0,6.0,1.98,214.0,97.1,Duke,Duke/Canada,9.0,True,F-G,9.0,1.0,G-F,,,,,,,,,
,,,,2811,Quentin,Grimes,2000-05-08,USA,2021,0,6.0,4.0,1.93,210.0,95.3,Houston,Houston/USA,6.0,True,G,6.0,1.0,G,,,,,,,,,
,,,,1890,Isaiah,Roby,1998-02-03,USA,2019,2,6.0,8.0,2.03,230.0,104.3,Nebraska,Nebraska/USA,22.0,True,F,9.0,1.0,F,,,,,,,,,
,,,,1903,Dylan,Windler,1996-09-22,USA,2020,1,6.0,6.0,1.98,196.0,88.9,Belmont,Belmont/USA,9.0,True,G-F,9.0,1.0,G-F,,,,9.0,1.0,F,,,
