get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.sacramento.jersey,response.leagues.sacramento.active,response.leagues.sacramento.pos
players/,38.0,2023.0,30.0,428,Jakob,Poeltl,1995-10-15,Austria,2016,5,7.0,1.0,2.16,245.0,111.1,Utah,Utah/Austria,25.0,True,C,,,,,,,,,
,,,,479,Pascal,Siakam,1994-04-02,Cameroon,2016,5,6.0,8.0,2.03,230.0,104.3,New Mexico State,New Mexico State/Cameroon,43.0,True,F,43.0,1.0,F,,,,,,
,,,,732,O.G.,Anunoby,1997-07-17,United Kingdom,2017,4,6.0,7.0,2.01,232.0,105.2,Indiana,Indiana/United Kingdom,3.0,True,F,,,,3.0,1.0,F,,,
,,,,745,Chris,Boucher,1993-01-11,Saint Lucia,2017,4,6.0,9.0,2.06,200.0,90.7,Oregon,Oregon/Saint Lucia,25.0,True,F-C,,,,25.0,1.0,F,,,
,,,,944,Bruce,Brown,1996-08-15,USA,2018,3,6.0,4.0,1.93,202.0,91.6,Miami,Miami/USA,11.0,True,G-F,,,,6.0,1.0,G,,,
,,,,2557,Jontay,Porter,1999-11-15,USA,2020,0,6.0,11.0,2.11,240.0,108.9,Missouri,Missouri/USA,4.0,True,C-F,,,,11.0,1.0,F,,,
,,,,1058,Gary,Trent Jr.,1999-01-18,USA,2018,3,6.0,5.0,1.96,209.0,94.8,Duke,Duke/USA,33.0,True,G-F,,,,2.0,1.0,G,,,
,,,,1846,RJ,Barrett,2000-06-14,Canada,2019,2,6.0,6.0,1.98,214.0,97.1,Duke,Duke/Canada,9.0,True,F-G,,,,9.0,1.0,G-F,,,
,,,,1880,Jalen,McDaniels,1998-01-31,USA,2019,2,6.0,9.0,2.06,205.0,93.0,San Diego State,San Diego State/USA,6.0,True,F-C,,,,6.0,1.0,F,,,
,,,,2628,Jordan,Nwora,1998-09-09,USA,2020,1,6.0,8.0,2.03,225.0,102.1,Louisville,Louisville/USA,13.0,True,F,,,,13.0,1.0,F,,,
,,,,2561,Precious,Achiuwa,1999-09-19,Nigeria,2020,1,6.0,8.0,2.03,225.0,102.1,Memphis,Memphis/Nigeria,5.0,True,F,,,,5.0,1.0,F,5.0,1.0,F
,,,,2611,Kira,Lewis Jr.,2001-04-06,USA,2020,1,6.0,1.0,1.85,170.0,77.1,Alabama,Alabama/USA,13.0,True,G,,,,13.0,1.0,G,,,
,,,,2637,Jahmi'us,Ramsey,2001-06-09,USA,2020,0,,,,,,Texas Tech,Texas Tech/USA,20.0,True,G,,,,3.0,1.0,G,3.0,1.0,G
,,,,2636,Immanuel,Quickley,1999-06-17,USA,2020,1,6.0,3.0,1.9,190.0,86.2,Kentucky,Kentucky/USA,5.0,True,G,,,,5.0,1.0,G,,,
,,,,2587,Malachi,Flynn,1998-05-09,USA,2020,1,6.0,1.0,1.85,175.0,79.4,San Diego State,San Diego State/USA,22.0,True,G,,,,22.0,1.0,G,,,
,,,,2878,Jeff,Dowtin,1997-05-10,USA,2021,0,6.0,3.0,1.9,180.0,81.6,Rhode Island,Rhode Island/USA,15.0,True,G,,,,20.0,1.0,G,25.0,1.0,G
,,,,3411,Ochai,Agbaji,,,0,0,,,,,,,,30.0,True,G,,,,30.0,1.0,G,,,
,,,,2789,Scottie,Barnes,2001-08-01,USA,2021,0,6.0,7.0,2.01,225.0,102.1,Florida State,Florida State/USA,4.0,True,F,,,,4.0,1.0,G-F,,,
,,,,3464,Makur,Maker,,,0,0,,,,,,,,,True,C,,,,99.0,1.0,C,,,
,,,,2797,D.J.,Carton,2000-08-05,USA,0,0,6.0,2.0,1.88,200.0,90.7,Marquette,Marquette/USA,,True,G,,,,27.0,1.0,G,,,
,,,,3447,Ron,Harper Jr.,,,0,0,,,,,,,,8.0,True,F,,,,8.0,1.0,G-F,,,
,,,,3440,Javon,Freeman-Liberty,,,0,0,,,,,,,,,True,G,,,,50.0,1.0,G,,,
,,,,3445,Mouhamadou,Gueye,,,0,0,,,,,,,,17.0,True,F,,,,,,,,,
,,,,4027,Gradey,Dick,,,0,0,6.0,,,205.0,,Kansas,,1.0,True,G,,,,,,,,,
,,,,4028,Markquis,Nowell,,,0,0,5.0,,,160.0,,Kansas State,,24.0,True,G,,,,,,,,,
,,,,570,Thaddeus,Young,1988-06-21,USA,2007,14,6.0,8.0,2.03,235.0,106.6,Georgia Tech,Georgia Tech/USA,21.0,True,F,,,,,,,,,
,,,,507,Garrett,Temple,1986-05-08,USA,2009,11,6.0,5.0,1.96,195.0,88.5,Louisiana State,Louisiana State/USA,41.0,True,G-F,,,,,,,,,
,,,,472,Dennis,Schroder,1993-09-15,Germany,2013,8,6.0,1.0,1.85,172.0,78.0,Braunschweig,Braunschweig/Germany,17.0,True,G,,,,,,,,,
,,,,404,Kelly,Olynyk,1991-04-19,Canada,2013,8,6.0,11.0,2.11,240.0,108.9,Gonzaga,Gonzaga/Canada,41.0,True,F-C,,,,,,,,,
,,,,430,Otto,Porter Jr.,1993-06-03,USA,2013,8,6.0,8.0,2.03,198.0,89.8,Georgetown,Georgetown/USA,32.0,True,F,,,,,,,,,
